Map Key,Point Key,File,Layer,Marker,Stop Number,Is Direction Stop,Point Name,Longitude,Latitude,Altitude
1mCadOG6blzVrPXs3nOU7BOYD219jIgFr,1mCadOG6blzVrPXs3nOU7BOYD219jIgFr-P15,2025.EIS.000086.kmz,"Directions from 24.172777, 90.432865 to Golden Refit Garments Ltd. (Factory), Dhaka - Mymensingh Road, গাজীপুর",C,3,TRUE,"Golden Refit Garments Ltd. (Factory), Dhaka - Mymensingh Road, গাজীপুর",90.427035,24.16743,0
1OTZcz0lqnpdDYNFf23qB9D4mrOJvAprk,1OTZcz0lqnpdDYNFf23qB9D4mrOJvAprk-P16,2025.EIS.000059.kmz,"Directions from Lariz Fashion Ltd./লারিজ ফ্যাশন লিমিটেড, Bandar to Gausia Khairia Jame Mosque",A,1,TRUE,"Lariz Fashion Ltd./লারিজ ফ্যাশন লিমিটেড, Bandar",90.5482314,23.6891871,0
1OTZcz0lqnpdDYNFf23qB9D4mrOJvAprk,1OTZcz0lqnpdDYNFf23qB9D4mrOJvAprk-P17,2025.EIS.000059.kmz,"Directions from Lariz Fashion Ltd./লারিজ ফ্যাশন লিমিটেড, Bandar to Gausia Khairia Jame Mosque",B,2,TRUE,"MGQX+F8M, N1, Bandar, Bangladesh",90.548068,23.6889508,0
1OTZcz0lqnpdDYNFf23qB9D4mrOJvAprk,1OTZcz0lqnpdDYNFf23qB9D4mrOJvAprk-P18,2025.EIS.000059.kmz,"Directions from Lariz Fashion Ltd./লারিজ ফ্যাশন লিমিটেড, Bandar to Gausia Khairia Jame Mosque",C,3,TRUE,Gausia Khairia Jame Mosque,90.5484873,23.6880428,0
1J2cSH3EynEEjNCeY7Vg-mNSwRwfNlfyD,1J2cSH3EynEEjNCeY7Vg-mNSwRwfNlfyD-P19,2025.EIS.000117.kmz,"Directions from Ettade Jeans Ltd, Chattogram to 9Q6F+5RJ, Chattogram 4217, Bangladesh",A,1,TRUE,"Ettade Jeans Ltd, Chattogram",91.8275876,22.3820058,0
1J2cSH3EynEEjNCeY7Vg-mNSwRwfNlfyD,1J2cSH3EynEEjNCeY7Vg-mNSwRwfNlfyD-P20,2025.EIS.000117.kmz,"Directions from Ettade Jeans Ltd, Chattogram to 9Q6F+5RJ, Chattogram 4217, Bangladesh",B,2,TRUE,"22.360010, 91.774799",91.7748063,22.36001,0
1J2cSH3EynEEjNCeY7Vg-mNSwRwfNlfyD,1J2cSH3EynEEjNCeY7Vg-mNSwRwfNlfyD-P21,2025.EIS.000117.kmz,"Directions from Ettade Jeans Ltd, Chattogram to 9Q6F+5RJ, Chattogram 4217, Bangladesh",C,3,TRUE,"9Q6F+5RJ, Chattogram 4217, Bangladesh",91.7744986,22.3611919,0
19jzQWqUgBXMmdBurvUOcCCoRZPH0ojdD,19jzQWqUgBXMmdBurvUOcCCoRZPH0ojdD-P22,2025.EIS.000049.kmz,"Directions from 387H+8F5, Bangladesh to Essential Clothing Limited, Mouchak - Fulbaria Road",A,1,TRUE,"387H+8F5, Bangladesh",90.3282598,24.0630034,0
19jzQWqUgBXMmdBurvUOcCCoRZPH0ojdD,19jzQWqUgBXMmdBurvUOcCCoRZPH0ojdD-P23,2025.EIS.000049.kmz,"Directions from 387H+8F5, Bangladesh to Essential Clothing Limited, Mouchak - Fulbaria Road",B,2,TRUE,"3878+JVC, Mouchak - Fulbaria Rd, Bangladesh",90.3180724,24.0645896,0
19jzQWqUgBXMmdBurvUOcCCoRZPH0ojdD,19jzQWqUgBXMmdBurvUOcCCoRZPH0ojdD-P24,2025.EIS.000049.kmz,"Directions from 387H+8F5, Bangladesh to Essential Clothing Limited, Mouchak - Fulbaria Road",C,3,TRUE,"Essential Clothing Limited, Mouchak - Fulbaria Road",90.3153283,24.0631819,0
1-0UItm7kfI6gahC5csPUoVfQrhLGkjwj,1-0UItm7kfI6gahC5csPUoVfQrhLGkjwj-P25,2025.EIS.000082.kmz,"Directions from Executive Greentex Ltd., Mc bajar, Mawna to Nambihin Rasta, Mawna, Bangladesh",A,1,TRUE,"Executive Greentex Ltd., Mc bajar, Mawna",90.3997638,24.237412,0
1-0UItm7kfI6gahC5csPUoVfQrhLGkjwj,1-0UItm7kfI6gahC5csPUoVfQrhLGkjwj-P26,2025.EIS.000082.kmz,"Directions from Executive Greentex Ltd., Mc bajar, Mawna to Nambihin Rasta, Mawna, Bangladesh",B,2,TRUE,"6CV2+MQF, Bangladesh",90.4022752,24.2441931,0
1-0UItm7kfI6gahC5csPUoVfQrhLGkjwj,1-0UItm7kfI6gahC5csPUoVfQrhLGkjwj-P27,2025.EIS.000082.kmz,"Directions from Executive Greentex Ltd., Mc bajar, Mawna to Nambihin Rasta, Mawna, Bangladesh",C,3,TRUE,"Nambihin Rasta, Mawna, Bangladesh",90.4111843,24.2319253,0
1-qWks6btdX-BXZSici4u7IzPRxIj9tH4,1-qWks6btdX-BXZSici4u7IzPRxIj9tH4-P28,2025.EIS.000088.kmz,"Directions from Manta Apparels Ltd. to Jamuna Bank Limited, Dhaka - Ashulia Highway, Jamgora",A,1,TRUE,Manta Apparels Ltd.,90.2957713,23.937488,0
1-qWks6btdX-BXZSici4u7IzPRxIj9tH4,1-qWks6btdX-BXZSici4u7IzPRxIj9tH4-P29,2025.EIS.000088.kmz,"Directions from Manta Apparels Ltd. to Jamuna Bank Limited, Dhaka - Ashulia Highway, Jamgora",B,2,TRUE,"পলাশবাড়ী পশ্চিমপাড়া তিন রাস্তার মোড়, nachim store, Ashulia",90.2582828,23.9325345,0
1-qWks6btdX-BXZSici4u7IzPRxIj9tH4,1-qWks6btdX-BXZSici4u7IzPRxIj9tH4-P30,2025.EIS.000088.kmz,"Directions from Manta Apparels Ltd. to Jamuna Bank Limited, Dhaka - Ashulia Highway, Jamgora",C,3,TRUE,"Jamuna Bank Limited, Dhaka - Ashulia Highway, Jamgora",90.2926559,23.9368778,0
1-zdxdMpVlnlVy9v4CMRPpVxvD9xEe0Hd,1-zdxdMpVlnlVy9v4CMRPpVxvD9xEe0Hd-P31,2025.EIS.000116.kmz,"Directions from Brothers Fashion Ltd. Team Group, Dhaka - Mymensingh Road, Gazipur to X9MJ+PJ7, Dhaka - Mymensingh Rd, Gazipur, Bangladesh",A,1,TRUE,"Brothers Fashion Ltd. Team Group, Dhaka - Mymensingh Road, Gazipur",90.3811368,23.9837991,0
1-zdxdMpVlnlVy9v4CMRPpVxvD9xEe0Hd,1-zdxdMpVlnlVy9v4CMRPpVxvD9xEe0Hd-P32,2025.EIS.000116.kmz,"Directions from Brothers Fashion Ltd. Team Group, Dhaka - Mymensingh Road, Gazipur to X9MJ+PJ7, Dhaka - Mymensingh Rd, Gazipur, Bangladesh",B,2,TRUE,"23.984407, 90.381377",90.3813782,23.9844105,0
1-zdxdMpVlnlVy9v4CMRPpVxvD9xEe0Hd,1-zdxdMpVlnlVy9v4CMRPpVxvD9xEe0Hd-P33,2025.EIS.000116.kmz,"Directions from Brothers Fashion Ltd. Team Group, Dhaka - Mymensingh Road, Gazipur to X9MJ+PJ7, Dhaka - Mymensingh Rd, Gazipur, Bangladesh",C,3,TRUE,"X9MJ+PJ7, Dhaka - Mymensingh Rd, Gazipur, Bangladesh",90.381513,23.9844436,0
10LePDoQzJu1XGiZUSUL4vkP-auMt-VK4,10LePDoQzJu1XGiZUSUL4vkP-auMt-VK4-P34,2026.EIS.000135.kmz,"Directions from 5CQG+G3, Mawna, Bangladesh to Fakhruddin Textile Mills Ltd., Unnamed Road, Mawna",A,1,TRUE,"5CQG+G3, Mawna, Bangladesh",90.4238438,24.1894327,0
10LePDoQzJu1XGiZUSUL4vkP-auMt-VK4,10LePDoQzJu1XGiZUSUL4vkP-auMt-VK4-P35,2026.EIS.000135.kmz,"Directions from 5CQG+G3, Mawna, Bangladesh to Fakhruddin Textile Mills Ltd., Unnamed Road, Mawna",B,2,TRUE,"5CQG+4PH, Mawna, Bangladesh",90.4267324,24.1878387,0
10LePDoQzJu1XGiZUSUL4vkP-auMt-VK4,10LePDoQzJu1XGiZUSUL4vkP-auMt-VK4-P36,2026.EIS.000135.kmz,"Directions from 5CQG+G3, Mawna, Bangladesh to Fakhruddin Textile Mills Ltd., Unnamed Road, Mawna",C,3,TRUE,"Fakhruddin Textile Mills Ltd., Unnamed Road, Mawna",90.4348121,24.1911731,0
11KDKd5yW71b-4T-YvRqPAsCh5MjU-PQQ,11KDKd5yW71b-4T-YvRqPAsCh5MjU-PQQ-P37,2025.EIS.000087.kmz,"Directions from Nambihin Rasta, Bangladesh to F7QG+VFR, Kochuyarpar, Bangladesh",A,1,TRUE,"Nambihin Rasta, Bangladesh",90.2851388,24.4942825,0
